Položka;Leden;Únor;Březen;Duben;Květen
7 Up;25;12;8;11;5
Absolut Fruit;6;24;18;11;1
Absolut Vodka;24;41;47;38;34
Amareto Disaronno;2;1;0;3;4
Ararat 10yo;0;1;0;0;0
Baileys;7;4;0;10;6
Ballantine ́s;1;2;0;2;0
Beefeater;17;31;4;28;31
Beefeater Blood Orange;4;7;0;7;7
Beefeater Pink;8;3;3;5;3
Beefeater Zesty Lemon;5;8;1;6;8
Becherovka;3;1;0;1;1
Becherovka Lemond;2;0;0;0;0
Birell Pomelo & Grep;4;17;2;0;17
Božkov Republica;7;2;1;1;2
Campari;0;1;0;2;1
Canadian Special Old;0;0;0;1;0
Captain Morgan Spiced;10;7;2;5;7
Ceder's;4;1;0;0;1
Cointreau;3;2;1;4;2
Corona;31;27;6;28;27
Crodino;2;6;0;0;6
Cubaney Elixir 12 Sistema Solera;2;1;0;0;1
Diplomatico;1;0;0;0;0
Don Papa Baroko;1;2;0;0;2
Espero Creole Caribean Orange Tuba;1;1;0;0;1
Fernet Stock/Citrus;1;0;0;0;2
Four Roses;0;2;0;0;1
Frisco;5;17;4;18;5
Grappa Po di Poli Morbida;0;0;0;0;0
Grey Goose;0;3;0;2;0
Havana Club 3yo;27;19;7;29;27
Havana Club 7yo;7;2;1;6;7
Havana Club Especial;0;0;0;0;1
Havana Club Selección de Maestros ;1;0;0;0;2
Havana Club Verde;3;1;0;0;0
Heineken;62;40;12;45;62
Hendrick ́s;0;1;0;0;0
Hill ́s Absinth;1;0;0;0;1
Hruškovice R. Jelínek;0;0;0;0;0
Chivas Regal 12yo;0;1;0;0;0
Jack Daniels;5;8;1;3;5
Jägermeister;28;17;5;12;28
Jägermeister Scharf;1;4;2;0;1
Jameson;14;7;3;0;14
Jameson Black Barrel;0;1;0;0;0
Jelzin Jablko;2;0;0;0;2
Juice;40;37;14;26;40
Kahlua;3;1;0;10;3
Kingswood;25;17;4;34;25
Kirk and Sweeney;0;2;0;0;0
Koskenkorva;7;8;2;7;7
La Hechicera reserva familiar;0;1;0;0;0
La Maison Du rhum discovery Panama;0;0;0;0;0
Laphroaig 10yo;1;0;0;0;1
Legendario Elixir 7yo;1;0;0;0;2
Lillet Blanc;1;0;2;0;0
Lipton;31;14;10;25;10
Malfy Gin Arancia;2;0;1;3;1
Malfy Gin con Limone;0;0;2;3;2
Malfy gin Originale;1;0;1;2;1
Malfy Gin Rosa;3;0;1;5;1
Malibu;2;0;1;2;1
Martell V.S.;0;0;0;0;0
Martini;0;0;0;0;1
Mattoni;48;37;25;50;28
Metaxa 7yo;0;1;0;0;0
Mirinda;18;5;3;23;19
Monkey 47;0;2;0;0;1
Olmeca Blanco;20;17;3;14;22
Olmeca Reposado;7;10;1;6;10
Peprmint Božkov;9;4;2;0;4
Pepsi;40;27;39;40;27
Pernod Absinthe;1;0;0;0;0
Pilsner Urquell;80;113;44;69;113
Polar Jahoda;4;1;2;3;1
Presidente 15 Aňos;1;0;0;0;0
Red Bull;87;57;72;39;57
Red Bull Sugarfree;10;15;12;12;15
Red Bull Tropical;34;21;30;26;21
Remy Martin V.S.O.P.;0;1;1;0;1
Sambuca Ramazzotti;2;0;1;0;0
Sandeman Porto Tawny Imperial;1;0;1;0;0
Schweppes;17;14;2;2;14
Slivovice R. Jelínek;0;0;1;0;0
The Glenlivet 12yo ;1;0;0;0;0
Tullamore Dew Honey;1;2;2;0;2
Zacapa 23 Aňos;1;0;0;0;0
